count,average_cocoa
1,74
2,70
48,73.52083333
56,71.69642857
58,71.13793103
1,70
1,70
8,76.25
1,72
4,78
40,70.25
3,54.66666667
10,70.5
38,71.57894737
1,74
11,74.54545455
25,71.4
1,70
140,71.69784173
1,70
1,70
190,73.28571429
1,70
1,70
2,75
8,73.25
1,75
33,71.18181818
2,71
1,68
1,75
19,69.36842105
1,70
1,88
27,71.22222222
9,71.33333333
27,69.07407407
15,73.93333333
4,65
16,72.5625
1,75
5,72
20,71.6
3,70.66666667
142,71.21428571
1,70
1,70
3,71.66666667
1,42
30,71.36666667
60,71.7
1,65
7,71.85714286
41,70.6097561
161,70.7515528
1,75
1,67
1,99
1,72
1,55
1,73
1,70
5,70.4
1,70
1,77
4,67.5
2,85
10,71
7,80.33333333
4,74
3,68.33333333
1,70
2,72.5
8,71.5
1,70
33,72.36363636
2,65
3,70
32,70.78125
1,75
1,68
2,67
8,70
7,71.57142857
1,70
1,75
1,65
208,71.99516908
1,72
1,75
1,75
1,85
1,70
1,62
1,74
1,64
1,72
37,73.62162162
6,72.83333333

